store_name,address,city,state,country,category,latitude,longitude
Kadambari Sweets & Bakes Malleswaram 8th Cross,8th Cross Sampige Road Malleswaram,Bengaluru,Karnataka,India,Bakery,13.003954,77.568827
Kadambari Sweets & Bakes Malleswaram 8th Cross Annexe,8th Cross Sampige Road Malleswaram,Bengaluru,Karnataka,India,Sweets & Bakery,13.00334,77.568365
Kadambari Sweets & Bakes Malleswaram 8th Cross Express,8th Cross Sampige Road Malleswaram,Bengaluru,Karnataka,India,Confectionery,13.002484,77.569905
Kadambari Sweets & Bakes Malleswaram 8th Cross Signature,8th Cross Sampige Road Malleswaram,Bengaluru,Karnataka,India,Sweet Shop,13.003464,77.570044
Kadambari Sweets & Bakes Malleswaram 8th Cross Corner,8th Cross Sampige Road Malleswaram,Bengaluru,Karnataka,India,Bakery,13.003897,77.57023
Kadambari Sweets & Bakes Malleswaram 15th Cross,15th Cross Malleswaram,Bengaluru,Karnataka,India,Sweets & Bakery,13.006678,77.565573
Kadambari Sweets & Bakes Malleswaram 15th Cross Annexe,15th Cross Malleswaram,Bengaluru,Karnataka,India,Confectionery,13.008451,77.566689
Kadambari Sweets & Bakes Malleswaram 15th Cross Express,15th Cross Malleswaram,Bengaluru,Karnataka,India,Sweet Shop,13.007717,77.567501
Kadambari Sweets & Bakes Malleswaram 15th Cross Signature,15th Cross Malleswaram,Bengaluru,Karnataka,India,Bakery,13.00877,77.567595
Kadambari Sweets & Bakes Malleswaram Circle,Malleswaram Circle,Bengaluru,Karnataka,India,Sweets & Bakery,13.001868,77.572489
Kadambari Sweets & Bakes Malleswaram Circle Annexe,Malleswaram Circle,Bengaluru,Karnataka,India,Confectionery,12.999683,77.571803
Kadambari Sweets & Bakes Malleswaram Circle Express,Malleswaram Circle,Bengaluru,Karnataka,India,Sweet Shop,13.000784,77.573064
Kadambari Sweets & Bakes Malleswaram Circle Signature,Malleswaram Circle,Bengaluru,Karnataka,India,Bakery,13.001376,77.572332
Kadambari Sweets & Bakes Sampige Road,Sampige Road Malleswaram,Bengaluru,Karnataka,India,Sweets & Bakery,13.00389,77.572159
Kadambari Sweets & Bakes Sampige Road Annexe,Sampige Road Malleswaram,Bengaluru,Karnataka,India,Confectionery,13.006284,77.570826
Kadambari Sweets & Bakes Sampige Road Express,Sampige Road Malleswaram,Bengaluru,Karnataka,India,Sweet Shop,13.005099,77.571426
Kadambari Sweets & Bakes Sampige Road Signature,Sampige Road Malleswaram,Bengaluru,Karnataka,India,Bakery,13.004124,77.571549
Kadambari Sweets & Bakes Margosa Road,Margosa Road Malleswaram,Bengaluru,Karnataka,India,Sweets & Bakery,13.006233,77.56686
Kadambari Sweets & Bakes Margosa Road Annexe,Margosa Road Malleswaram,Bengaluru,Karnataka,India,Confectionery,13.006189,77.568467
Kadambari Sweets & Bakes Margosa Road Express,Margosa Road Malleswaram,Bengaluru,Karnataka,India,Sweet Shop,13.007044,77.567351
Kadambari Sweets & Bakes Sadashivanagar,Sadashivanagar Main Road,Bengaluru,Karnataka,India,Bakery,13.006892,77.579059
Kadambari Sweets & Bakes Sadashivanagar Annexe,Sadashivanagar Main Road,Bengaluru,Karnataka,India,Sweets & Bakery,13.007984,77.579754
Kadambari Sweets & Bakes Sadashivanagar Express,Sadashivanagar Main Road,Bengaluru,Karnataka,India,Confectionery,13.008726,77.579704
Kadambari Sweets & Bakes Vyalikaval,Vyalikaval Extension,Bengaluru,Karnataka,India,Sweet Shop,13.003124,77.581884
Kadambari Sweets & Bakes Vyalikaval Annexe,Vyalikaval Extension,Bengaluru,Karnataka,India,Bakery,13.003718,77.582286
Kadambari Sweets & Bakes Vyalikaval Express,Vyalikaval Extension,Bengaluru,Karnataka,India,Sweets & Bakery,13.004095,77.579898
Kadambari Sweets & Bakes Seshadripuram,Seshadripuram Main Road,Bengaluru,Karnataka,India,Confectionery,12.989965,77.578782
Kadambari Sweets & Bakes Seshadripuram Annexe,Seshadripuram Main Road,Bengaluru,Karnataka,India,Sweet Shop,12.98923,77.577885
Kadambari Sweets & Bakes Seshadripuram Express,Seshadripuram Main Road,Bengaluru,Karnataka,India,Bakery,12.990448,77.579553
Kadambari Sweets & Bakes Srirampuram,Srirampuram Main Road,Bengaluru,Karnataka,India,Sweets & Bakery,12.988093,77.560844
Kadambari Sweets & Bakes Srirampuram Annexe,Srirampuram Main Road,Bengaluru,Karnataka,India,Confectionery,12.986896,77.561632
Kadambari Sweets & Bakes Srirampuram Express,Srirampuram Main Road,Bengaluru,Karnataka,India,Sweet Shop,12.987672,77.563027
Kadambari Sweets & Bakes Rajajinagar 1st Block,1st Block Rajajinagar,Bengaluru,Karnataka,India,Bakery,12.991514,77.553551
Kadambari Sweets & Bakes Rajajinagar 1st Block Annexe,1st Block Rajajinagar,Bengaluru,Karnataka,India,Sweets & Bakery,12.991428,77.551485
Kadambari Sweets & Bakes Rajajinagar 1st Block Express,1st Block Rajajinagar,Bengaluru,Karnataka,India,Confectionery,12.992098,77.55182
Kadambari Sweets & Bakes Mahalakshmi Layout,Mahalakshmi Layout Main Road,Bengaluru,Karnataka,India,Sweet Shop,13.009972,77.550473
Kadambari Sweets & Bakes Mahalakshmi Layout Annexe,Mahalakshmi Layout Main Road,Bengaluru,Karnataka,India,Bakery,13.011396,77.54963
Kadambari Sweets & Bakes Mahalakshmi Layout Express,Mahalakshmi Layout Main Road,Bengaluru,Karnataka,India,Sweets & Bakery,13.011052,77.548421
Kadambari Sweets & Bakes Gayathrinagar,Gayathrinagar Main Road,Bengaluru,Karnataka,India,Confectionery,12.994638,77.555559
Kadambari Sweets & Bakes Gayathrinagar Annexe,Gayathrinagar Main Road,Bengaluru,Karnataka,India,Sweet Shop,12.995244,77.555363
Kadambari Sweets & Bakes Yeshwanthpur,Yeshwanthpur Circle,Bengaluru,Karnataka,India,Bakery,13.023699,77.551414
Kadambari Sweets & Bakes Yeshwanthpur Annexe,Yeshwanthpur Circle,Bengaluru,Karnataka,India,Sweets & Bakery,13.022702,77.552416
Kadambari Sweets & Bakes Mantri Square,Mantri Square Sampige Road,Bengaluru,Karnataka,India,Confectionery,12.992087,77.570534
Kadambari Sweets & Bakes Mantri Square Annexe,Mantri Square Sampige Road,Bengaluru,Karnataka,India,Sweet Shop,12.991082,77.570362
Kadambari Sweets & Bakes Mantri Square Express,Mantri Square Sampige Road,Bengaluru,Karnataka,India,Bakery,12.992371,77.569214
Kadambari Sweets & Bakes Palace Guttahalli,Palace Guttahalli Main Road,Bengaluru,Karnataka,India,Sweets & Bakery,12.999247,77.577155
Kadambari Sweets & Bakes Palace Guttahalli Annexe,Palace Guttahalli Main Road,Bengaluru,Karnataka,India,Confectionery,13.000089,77.575944
Kadambari Sweets & Bakes Palace Guttahalli Express,Palace Guttahalli Main Road,Bengaluru,Karnataka,India,Sweet Shop,12.998018,77.574814
Kadambari Sweets & Bakes Indiranagar,100 Feet Road Indiranagar,Bengaluru,Karnataka,India,Bakery,12.973187,77.641206
Kadambari Sweets & Bakes Indiranagar Annexe,100 Feet Road Indiranagar,Bengaluru,Karnataka,India,Sweets & Bakery,12.971889,77.640244
Kadambari Sweets & Bakes Indiranagar Express,100 Feet Road Indiranagar,Bengaluru,Karnataka,India,Confectionery,12.97185,77.641019
Kadambari Sweets & Bakes Koramangala,80 Feet Road 5th Block Koramangala,Bengaluru,Karnataka,India,Sweet Shop,12.934375,77.625608
Kadambari Sweets & Bakes Koramangala Annexe,80 Feet Road 5th Block Koramangala,Bengaluru,Karnataka,India,Bakery,12.934967,77.625939
Kadambari Sweets & Bakes Koramangala Express,80 Feet Road 5th Block Koramangala,Bengaluru,Karnataka,India,Sweets & Bakery,12.934818,77.626564
Kadambari Sweets & Bakes Jayanagar,4th Block Jayanagar,Bengaluru,Karnataka,India,Confectionery,12.925227,77.593168
Kadambari Sweets & Bakes Jayanagar Annexe,4th Block Jayanagar,Bengaluru,Karnataka,India,Sweet Shop,12.926171,77.594878
Kadambari Sweets & Bakes Jayanagar Express,4th Block Jayanagar,Bengaluru,Karnataka,India,Bakery,12.924238,77.594185
Kadambari Sweets & Bakes JP Nagar,24th Main JP Nagar 6th Phase,Bengaluru,Karnataka,India,Sweets & Bakery,12.908797,77.585319
Kadambari Sweets & Bakes JP Nagar Annexe,24th Main JP Nagar 6th Phase,Bengaluru,Karnataka,India,Confectionery,12.907052,77.5847
Kadambari Sweets & Bakes Banashankari,Banashankari 2nd Stage,Bengaluru,Karnataka,India,Sweet Shop,12.92561,77.546957
Kadambari Sweets & Bakes Banashankari Annexe,Banashankari 2nd Stage,Bengaluru,Karnataka,India,Bakery,12.925261,77.5466
Kadambari Sweets & Bakes BTM Layout,BTM Layout 2nd Stage,Bengaluru,Karnataka,India,Sweets & Bakery,12.917552,77.6109
Kadambari Sweets & Bakes BTM Layout Annexe,BTM Layout 2nd Stage,Bengaluru,Karnataka,India,Confectionery,12.917389,77.609662
Kadambari Sweets & Bakes HSR Layout,HSR Layout Sector 1,Bengaluru,Karnataka,India,Sweet Shop,12.910392,77.639607
Kadambari Sweets & Bakes HSR Layout Annexe,HSR Layout Sector 1,Bengaluru,Karnataka,India,Bakery,12.912174,77.63926
Kadambari Sweets & Bakes Marathahalli,Marathahalli Outer Ring Road,Bengaluru,Karnataka,India,Sweets & Bakery,12.959063,77.696842
Kadambari Sweets & Bakes Marathahalli Annexe,Marathahalli Outer Ring Road,Bengaluru,Karnataka,India,Confectionery,12.960373,77.697912
Kadambari Sweets & Bakes Whitefield,ITPL Main Road Whitefield,Bengaluru,Karnataka,India,Sweet Shop,12.970036,77.750438
Kadambari Sweets & Bakes Whitefield Annexe,ITPL Main Road Whitefield,Bengaluru,Karnataka,India,Bakery,12.969908,77.749549
Kadambari Sweets & Bakes Whitefield Express,ITPL Main Road Whitefield,Bengaluru,Karnataka,India,Sweets & Bakery,12.970997,77.751132
Kadambari Sweets & Bakes Electronic City,Hosur Road Electronic City Phase 1,Bengaluru,Karnataka,India,Confectionery,12.845237,77.659214
