store_name,address,city,state,country,category,latitude,longitude
Weavehouse New BEL Road,New BEL Road opposite MS Ramaiah Hospital,Bengaluru,Karnataka,India,Clothing Store,13.0290,77.5680
Weavehouse Ramaiah Junction,MSRIT Post New BEL Road,Bengaluru,Karnataka,India,Womenswear,13.0295,77.5648
Weavehouse Sanjaynagar,Sanjaynagar Main Road,Bengaluru,Karnataka,India,Clothing Store,13.0250,77.5762
Weavehouse Mathikere,Mathikere Main Road near BEL Circle,Bengaluru,Karnataka,India,Menswear,13.0335,77.5625
Weavehouse RMV 2nd Stage,New BEL Road RMV 2nd Stage,Bengaluru,Karnataka,India,Clothing Store,13.0175,77.5735
Weavehouse Nagashetty Halli,Nagashetty Halli Main Road,Bengaluru,Karnataka,India,Kidswear,13.0288,77.5820
Weavehouse Dollars Colony,Dollars Colony RMV 2nd Stage,Bengaluru,Karnataka,India,Clothing Store,13.0232,77.5758
Weavehouse Yeshwanthpur,Yeshwanthpur Circle Tumkur Road,Bengaluru,Karnataka,India,Clothing Store,13.0235,77.5512
Weavehouse Hebbal,Hebbal Outer Ring Road,Bengaluru,Karnataka,India,Multi-brand,13.0350,77.5890
Weavehouse Malleswaram,8th Cross Malleswaram,Bengaluru,Karnataka,India,Clothing Store,12.9980,77.5705
Weavehouse Rajajinagar,Dr Rajkumar Road Rajajinagar,Bengaluru,Karnataka,India,Womenswear,12.9910,77.5520
Weavehouse Indiranagar,100 Feet Road Indiranagar,Bengaluru,Karnataka,India,Clothing Store,12.9719,77.6412
Weavehouse Koramangala,80 Feet Road 5th Block Koramangala,Bengaluru,Karnataka,India,Menswear,12.9345,77.6266
Weavehouse Jayanagar,4th Block Jayanagar,Bengaluru,Karnataka,India,Clothing Store,12.9250,77.5938
Weavehouse Whitefield,ITPL Main Road Whitefield,Bengaluru,Karnataka,India,Multi-brand,12.9698,77.7500
Weavehouse Electronic City,Hosur Road Electronic City Phase 1,Bengaluru,Karnataka,India,Clothing Store,12.8452,77.6602
Weavehouse Mysuru,Sayyaji Rao Road,Mysuru,Karnataka,India,Clothing Store,12.3052,76.6552
Weavehouse Mangaluru,Balmatta Road,Mangaluru,Karnataka,India,Clothing Store,12.8703,74.8420
Weavehouse Yelahanka,Yelahanka New Town 5th Phase,Bengaluru,Karnataka,India,Clothing Store,,
Weavehouse Jalahalli,Jalahalli Cross Tumkur Road,Bengaluru,Karnataka,India,Kidswear,,
