store_name,address,city,state,country,category,latitude,longitude
Northgate Mart New BEL Road,New BEL Road opposite MS Ramaiah Hospital,Bengaluru,Karnataka,India,Supermarket,13.0290,77.5680
Northgate Grand Ramaiah,MSRIT Post New BEL Road,Bengaluru,Karnataka,India,Department Store,13.0295,77.5648
Northgate Mart Sanjaynagar,Sanjaynagar Main Road,Bengaluru,Karnataka,India,Supermarket,13.0250,77.5762
Northgate Mart Mathikere,Mathikere Main Road near BEL Circle,Bengaluru,Karnataka,India,Supermarket,13.0335,77.5625
Northgate Grand RMV 2nd Stage,New BEL Road RMV 2nd Stage,Bengaluru,Karnataka,India,Department Store,13.0175,77.5735
Northgate Mart Nagashetty Halli,Nagashetty Halli Main Road,Bengaluru,Karnataka,India,Supermarket,13.0288,77.5820
Northgate Mart Dollars Colony,Dollars Colony RMV 2nd Stage,Bengaluru,Karnataka,India,Supermarket,13.0232,77.5758
Northgate Grand Yeshwanthpur,Yeshwanthpur Circle Tumkur Road,Bengaluru,Karnataka,India,Department Store,13.0235,77.5512
Northgate Mart Hebbal,Hebbal Outer Ring Road,Bengaluru,Karnataka,India,Supermarket,13.0350,77.5890
Northgate Mart Malleswaram,8th Cross Malleswaram,Bengaluru,Karnataka,India,Supermarket,12.9980,77.5705
Northgate Grand Rajajinagar,Dr Rajkumar Road Rajajinagar,Bengaluru,Karnataka,India,Department Store,12.9910,77.5520
Northgate Mart Indiranagar,100 Feet Road Indiranagar,Bengaluru,Karnataka,India,Supermarket,12.9719,77.6412
Northgate Grand Koramangala,80 Feet Road 5th Block Koramangala,Bengaluru,Karnataka,India,Department Store,12.9345,77.6266
Northgate Mart Jayanagar,4th Block Jayanagar,Bengaluru,Karnataka,India,Supermarket,12.9250,77.5938
Northgate Grand Whitefield,ITPL Main Road Whitefield,Bengaluru,Karnataka,India,Department Store,12.9698,77.7500
Northgate Mart Electronic City,Hosur Road Electronic City Phase 1,Bengaluru,Karnataka,India,Supermarket,12.8452,77.6602
Northgate Mart Mysuru,Sayyaji Rao Road,Mysuru,Karnataka,India,Supermarket,12.3052,76.6552
Northgate Grand Mangaluru,Balmatta Road,Mangaluru,Karnataka,India,Department Store,12.8703,74.8420
Northgate Mart Yelahanka,Yelahanka New Town 5th Phase,Bengaluru,Karnataka,India,Supermarket,,
Northgate Grand Jalahalli,Jalahalli Cross Tumkur Road,Bengaluru,Karnataka,India,Department Store,,
